NLC,TLC,Station Name,Region,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,1819 Entries and exits
5827,YEO,Yeoford,South West,2086,12820,2210,17116
5838,YVJ,Yeovil Junction,South West,35360,161908,12978,210246
5856,YVP,Yeovil Pen Mill,South West,37918,97196,4618,139732
5857,YET,Yetminster,South West,2602,4554,542,7698
3818,YNW,Ynyswen,Wales - Cymru,7126,412,3402,10940
9990,YOK,Yoker,Scotland,48410,89500,35194,173104
8263,YRK,York,Yorkshire And The Humber,1290752,7500854,1198932,9990538
1351,YRT,Yorton,West Midlands,4562,1408,1118,7088
4026,YSM,Ystrad Mynach,Wales - Cymru,191872,9278,173334,374484
3871,YSR,Ystrad Rhondda,Wales - Cymru,34398,1936,12572,48906
