Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,2021 Entries and exits,NLC,TLC,Region
Queenstown Road (Battersea),"148,532","196,350","133,730","478,612",5596,QRB,London
Radcliffe (Nottinghamshire),"1,034",918,0,"1,952",6242,RDF,East Midlands
Radlett,"86,084","138,352","57,726","282,162",1546,RDT,East of England
Radley,"4,194","13,386","3,250","20,830",3118,RAD,South East
Radyr,"45,844","1,520","24,196","71,560",3874,RDR,Wales
Rainford,"3,198","4,046",0,"7,244",2404,RNF,North West
Rainham (Essex),"209,830","237,500","68,422","515,752",7454,RNM,London
Rainham (Kent),"111,566","138,786","205,682","456,034",5177,RAI,South East
Rainhill,"19,794","19,434","10,468","49,696",2296,RNH,North West
Ramsgate,"57,318","169,160","190,984","417,462",5023,RAM,South East
Rauceby,638,16,"1,932","2,586",6361,RAU,East Midlands
